EIN2,F9_00_ORG_NAME_L1,F9_00_ORG_ADDR_CITY,F9_00_ORG_ADDR_STATE,F9_08_REV_PROG_DESC
EIN-01-0367056,MANCHESTER HOUSING FOR THE ELDERLY,PORTLAND,ME,531110.0
EIN-01-0367581,BROWNVILLE HOUSING CORPORATION,BROWNVILLE,ME,531110.0
EIN-01-0367791,UNITED PEJEPSCOT HOUSING INC PEJEPSCOT TERRACE,BRUNSWICK,ME,531100.0
EIN-01-0368190,SKATING ASSOCIATION OF MAINE,AUGUSTA,ME,713940.0
EIN-01-0369020,PROTECTORS OF ANIMAL LIFE SOCIETY,WINTHROP,ME,812910.0
EIN-01-0369255,RANGELEY HOUSING DEVELOPMENT CORPORATION,AUGUSTA,ME,531110.0
EIN-01-0369660,WORK FIRST INC,FARMINGTON,ME,624310.0
EIN-01-0369722,WAWENOCK COUNTRY CLUB,DAMARISCOTTA,ME,713910.0
EIN-01-0369904,CASA INC,WESTBROOK,ME,623990.0
EIN-01-0370385,FRANKLIN COUNTY CHILDRENS TASK FORCE INC,FARMINGTON,ME,624100.0
EIN-01-0370653,SHADAGEE SENIORS HOUSING CORPORATION,MADRID TWP,ME,531110.0
EIN-01-0372129,NORTH AMERICAN LAKE MANAGEMENT SOCIETY,MADISON,WI,561920.0
EIN-01-0372829,BOOTHBAY RAILWAY VILLAGE,BOOTHBAY,ME,713990.0
EIN-01-0374565,WINTER FOUNDATION,AUBURN,ME,713940.0
EIN-01-0376143,MAINE AVENUE MANOR INC,MILLINOCKET,ME,531110.0
EIN-01-0376890,PINES HEALTH SERVICES,CARIBOU,ME,621110.0
EIN-01-0378420,PORTLAND MUSEUM OF ART,PORTLAND,ME,713990.0
EIN-01-0378598,FRIENDS OF THE KOTZSCHMAR ORGAN INC,PORTLAND,ME,711130.0
EIN-01-0379054,JACKSON MEMORIAL LIBRARY,TENANTS HARBOR,ME,611710.0
EIN-01-0379498,STANLEY MUSEUM INC,KINGFIELD,ME,900099.0
EIN-01-0380003,WINTERPORT FIRE AND RESCUE ASSOCIATION,WINTERPORT,ME,621900.0
EIN-01-0382451,WHITNEY BROOKSIDE CORPORATION,CANTON,ME,531110.0
EIN-01-0387300,VILES ARBORETUM,AUGUSTA,ME,611600.0
EIN-01-0391479,MAINE COMMUNITY FOUNDATION INC,ELLSWORTH,ME,561000.0
EIN-01-0395415,PEOPLEPLACE,CAMDEN,ME,611600.0
EIN-01-0407276,SUNRISE OPPORTUNITIES,MACHIAS,ME,623990.0
EIN-01-0407346,AUTISM SOCIETY OF MAINE,WINTHROP,ME,611710.0
EIN-01-0409788,COMMUNITY CLINICAL SERVICES INC,LEWISTON,ME,621110.0
EIN-01-0409788,COMMUNITY CLINICAL SERVICES INC,LEWISTON,ME,621110.0
EIN-01-0411259,UPPER KENNEBEC VALLEY AMBULANCE SERVICE,BINGHAM,ME,621910.0
EIN-01-0411857,RIVER TREE ARTS,KENNEBUNK,ME,711300.0
EIN-01-0412269,DOWN EAST FAMILY YMCA,ELLSWORTH,ME,713940.0
EIN-01-0414293,HABITAT FOR HUMANITY YORK COUNTY,KENNEBUNK,ME,236000.0
EIN-01-0415961,VETERANS FOR PEACE INC,ST LOUIS,MO,611710.0
EIN-01-0422035,TEDFORD HOUSING,BRUNSWICK,ME,624200.0
EIN-01-0422885,ALTERNATIVE HEALTH SERVICES OF ST JOSEPH INC,BANGOR,ME,621610.0
EIN-01-0437848,CHILDRENS DISCOVERY MUSEUM,WATERVILLE,ME,900099.0
EIN-01-0439009,AUBURN RESIDENTIAL DEVELOPMENT CORPORATION,AUBURN,ME,531110.0
EIN-01-0440182,ST XAVIERS HOME,BANGOR,ME,531110.0
EIN-01-0441229,DOWN EAST AIDS NETWORK INC,ELLSWORTH,ME,621990.0
EIN-01-0442447,STATE RISK AND INSURANCE MANAGEMENT ASSOCIATION,BISMARCK,ND,611430.0
EIN-01-0444245,MAINE SHARE,AUGUSTA,ME,561000.0
EIN-01-0444478,SAINT GEORGE VOLUNTEER FIREMENS ASSOCIATION,TENANTS HBR,ME,621910.0
EIN-01-0445336,POPE MEMORIAL HUMANE SOCIETY OF KNOX COUNTY,ROCKLAND,ME,900099.0
EIN-01-0448173,CENTER FOR TEACHING AND LEARNING,EDGECOMB,ME,611110.0
EIN-01-0448263,RONALD MCDONALD HOUSE CHARITIES INC,PORTLAND,ME,532000.0
EIN-01-0449348,COBSCOOK COMMUNITY LEARNING CENTER,TRESCOTT TWP,ME,611710.0
EIN-01-0451441,NEW LIFE MISSION,BANGOR,ME,624100.0
EIN-01-0451732,CENTRAL MAINE CHRISTIAN ACADEMY INC,LEWISTON,ME,611710.0
EIN-01-0452403,DOWNEAST INSTITUTE FOR APPLIED MARINE RESEARCH AND EDUCATION INC,BEALS,ME,111000.0
EIN-01-0453264,MAINE TIMBER RESEARCH & MAINE TREE FOUNDATION,AUGUSTA,ME,611710.0
EIN-01-0461436,GENESIS FUND,BRUNSWICK,ME,522291.0
EIN-01-0462738,U A LOCAL 716 APPRENTICESHIP AND TRAINING TRUST,WALLINGFORD,CT,230000.0
EIN-01-0463028,PORTLAND TRAILS,PORTLAND,ME,900099.0
EIN-01-0467073,ST CROIX REGIONAL FAMILY HEALTH CENTER,PRINCETON,ME,621110.0
EIN-01-0471151,REGULATORY ASSISTANCE PROJECT,MONTPELIER,VT,900099.0
EIN-01-0473601,WASHINGTON LIBRARY ASSOCIATION,WASHINGTON,ME,519100.0
EIN-01-0477749,VOLUNTEERS OF AMERICA INC,ALEXANDRIA,VA,531110.0
EIN-01-0477896,LAKE GEORGE CORPORATION,SKOWHEGAN,ME,713990.0
EIN-01-0482069,RIDING TO THE TOP,WINDHAM,ME,624100.0
EIN-01-0482767,PEAKS ISLAND CHILDRENS WORKSHOP,PEAKS ISLAND,ME,624410.0
EIN-01-0483786,BICYCLE COALITION OF MAINE,PORTLAND,ME,900099.0
EIN-01-0484605,ALBION ASSOCIATES,ALBION,ME,531110.0
EIN-01-0484781,PORTLAND CHAMBER MUSIC FESTIVAL,PORTLAND,ME,711190.0
EIN-01-0485254,WILHELM REICH INFANT TRUST,RANGELEY,ME,713990.0
EIN-01-0485474,TELESIS HOUSING CORPORATION,PORTLAND,ME,531110.0
EIN-01-0486343,SACO RIVER GRANGE HALL INC,BAR MILLS,ME,711110.0
EIN-01-0488477,RIVERVIEW FOUNDATION,BRUNSWICK,ME,611600.0
EIN-01-0488538,MAINE ASSOCIATION OF NONPROFITS,PORTLAND,ME,611430.0
EIN-01-0490209,TREE OF LIFE,BLUE HILL,ME,453310.0
EIN-01-0490316,OGUNQUIT PLAYHOUSE FOUNDATION,OGUNQUIT,ME,711110.0
EIN-01-0491710,ASSOCIATION OF COMPUTER TECHNOLOGY EDUCATORS OF MAINE,GORHAM,ME,900099.0
EIN-01-0492876,FREEPORT SENIOR HOUSING INC,FREEPORT,ME,531110.0
EIN-01-0495219,BARAN PLACE INC,ELIOT,ME,531110.0
EIN-01-0495250,INGRAHAM HOUSING CORPORATION INC,S PORTLAND,ME,531120.0
EIN-01-0496258,MAINE LIFE CARE RETIREMENT COMMUNITY INC,SCARBOROUGH,ME,541300.0
EIN-01-0499730,AMERICAN LIGHTHOUSE FOUNDATION,ROCKLAND,ME,900099.0
EIN-01-0500070,MARINE MAMMALS OF MAINE,BATH,ME,611710.0
EIN-01-0500427,CONNECTIONS FOR KIDS,SOUTH PORTLAND,ME,611600.0
EIN-01-0502630,LAKE STEWARDS OF MAINE,AUBURN,ME,900099.0
EIN-01-0503126,MAINE PHILANTHROPY CENTER,PORTLAND,ME,900099.0
EIN-01-0503294,MCKEEN STREET LEARNING CENTER INC,BRUNSWICK,ME,624410.0
EIN-01-0504257,MUSEUM L-A,LEWISTON,ME,713990.0
EIN-01-0504725,ELDERCARE NETWORK OF LINCOLN COUNTY,DAMARISCOTTA,ME,623990.0
EIN-01-0505456,SAIL MAINE INC,PORTLAND,ME,611600.0
EIN-01-0505729,FRIENDS OF THE ST LAWRENCE CHURCH,PORTLAND,ME,711300.0
EIN-01-0506148,BREWER YOUTH HOCKEY ASSOCIATION,BREWER,ME,711210.0
EIN-01-0506743,SANDCASTLE CLINICAL AND EDUCATIONAL SERVICES,LEWISTON,ME,611600.0
EIN-01-0507513,MAINE DAIRY AND NUTRITION COUNCIL,AUGUSTA,ME,900099.0
EIN-01-0508663,WARDWELL COMMONS ELDERLY HOUSING INC,SACO,ME,531110.0
EIN-01-0509087,HALL-DALE AFTER SCHOOL PROGRAM,HALLOWELL,ME,624410.0
EIN-01-0509203,CHEBEAGUE RECREATION CENTER INC,CHEBEAGUE IS,ME,713940.0
EIN-01-0509638,MCLAUGHLIN FOUNDATION INC,SOUTH PARIS,ME,999999.0
EIN-01-0509793,PITTSTON FAIR,GARDINER,ME,900099.0
EIN-01-0510641,MAINE CENTER FOR ENTERPRISE DEVELOPMENT,PORTLAND,ME,611430.0
EIN-01-0511224,MAINE ENERGY MARKETERS ASSOCIATION EDUCATION FOUNDATION,BRUNSWICK,ME,611600.0
EIN-01-0511583,NORTHERN NEW ENGLAND CENTER FOR FINANCIAL TRAINING,SPRINGVALE,ME,900099.0
EIN-01-0511596,NATHAN AND HENRY B CLEAVES LAW LIBRARY,PORTLAND,ME,900099.0
EIN-01-0512570,FAIRFIELD POLICE ATHLETIC LEAGUE INC,FAIRFIELD,ME,713990.0
EIN-01-0513594,MAINE BETTER TRANSPORTATION EDUCATIONAL FOUNDATION,AUGUSTA,ME,611710.0
EIN-01-0514334,TD BEACH TO BEACON 10K INC,PORTLAND,ME,711210.0
EIN-01-0514750,PENOBSCOT COMMUNITY HEALTH CENTER,BANGOR,ME,621110.0
EIN-01-0515381,BIODIVERSITY,PORTLAND,ME,514170.0
EIN-01-0516247,CARLETON PROJECT,HOULTON,ME,611600.0
EIN-01-0516517,SENIOR NEEDS COMMITTEE OF WELLS & OGUNQUIT,WELLS,ME,624110.0
EIN-01-0516646,NORTHWEST ATLANTIC MARINE ALLIANCE INC,GLOUCESTER,MA,110000.0
EIN-01-0517984,CENTER FOR FURNITURE CRAFTSMANSHIP,ROCKPORT,ME,611600.0
EIN-01-0518745,MAINE MANUFACTURING EXTENSION PARTNERSHIP,AUGUSTA,ME,310000.0
EIN-01-0520096,CENTER THEATRE INC,DOVR FOXCROFT,ME,711110.0
EIN-01-0522241,ECOLOGY EDUCATION INC,SACO,ME,611600.0
EIN-01-0523209,MAINE COMPOSITES ALLIANCE,PORTLAND,ME,541700.0
EIN-01-0523789,PARK STREET HOME,GREENWOOD,ME,623000.0
EIN-01-0524313,WINDHAM SCHOOL AGE CHILDCARE,WINDHAM,ME,624410.0
EIN-01-0527277,MAINE INDOOR AIR QUALITY COUNCIL,AUGUSTA,ME,813319.0
EIN-01-0527319,NORTHERN MAINE INDEPENDENT SYSTEM ADMINISTRATION INC,BANGOR,ME,221000.0
EIN-01-0527664,HOWELL HOUSE,AUGUSTA,ME,623000.0
EIN-01-0528379,NORWAY MAINE OPERA HOUSE CORP,NORWAY,ME,711110.0
EIN-01-0528831,WATERFALL ARTS,BELFAST,ME,611600.0
EIN-01-0530866,INSTITUTE FOR HUMANE EDUCATION,SURRY,ME,611600.0
EIN-01-0530888,NORTHERN NEW ENGLAND EMPLOYMENT SER,GORHAM,ME,900099.0
EIN-01-0531093,HOMELESS ANIMAL RESCUE TEAM OF MAINE INC,CUMBERLND CTR,ME,900099.0
EIN-01-0531223,JORDAN BAY PLACE,PORTLAND,ME,531110.0
EIN-01-0531224,FIVE GRAHAM ST,PORTLAND,ME,531110.0
EIN-01-0532229,NEW ENGLAND RURAL HEALTH ROUNDTABLE,NEWFIELD,ME,900099.0
EIN-01-0532605,DENNYSVILLE HOUSING,MACHIAS,ME,812300.0
EIN-01-0535494,GULF OF MAINE LOBSTER FOUNDATION INC,KENNEBUNK,ME,900099.0
EIN-01-0536445,FRANCO-AMERICAN HERITAGE CENTER AT ST MARYS,LEWISTON,ME,711190.0
EIN-01-0536785,UNITY FOUNDATION,UNITY,ME,541610.0
EIN-01-0537310,MASSABESIC ATHLETIC BOOSTERS INC,WATERBORO,ME,722320.0
EIN-01-0538200,EDGECOMB WOODS,PORTLAND,ME,531110.0
EIN-01-0538921,FRYEBURG RECREATION DEPARTMENT INC,FRYEBURG,ME,713990.0
EIN-01-0540180,HOSPICE OF SOUTHERN MAINE,SCARBOROUGH,ME,621610.0
EIN-01-0540911,JANUS SUPPORTIVE LIVING SERVICES INC,WASHINGTON,ME,623990.0
EIN-01-0541131,DOWN EAST LAKES LAND TR,GRAND LK STRM,ME,110000.0
EIN-01-0543069,FIDDLEHEAD CENTER FOR THE ART,GRAY,ME,611600.0
EIN-01-0544705,ST ANTHONYS MONASTERY ASSOCIATION INC,KENNEBUNK,ME,900099.0
EIN-01-0545327,PENOBSCOT VALLEY HOSPITAL,LINCOLN,ME,622000.0
EIN-01-0545369,HYSSONG FAMILY MINISTRIES,ROCKPORT,ME,711130.0
EIN-01-0545442,FRIENDS OF COBBOSSEE WATERSHED DISTRICT,EAST WINTHROP,ME,611710.0
EIN-01-0546698,MOOSABEC AMBULANCE SERVICE,JONESPORT,ME,621900.0
EIN-01-0547297,NEW SCHOOL,KENNEBUNK,ME,611600.0
EIN-01-0547336,NORTHERN LIGHTHOUSE INC,PRESQUE ISLE,ME,621420.0
EIN-01-0554139,BATON ROUGE CAPITAL CONFLICT OFFICE INC,BATON ROUGE,LA,541100.0
EIN-01-0555614,OKANOGAN REGIONAL HUMANE,OMAK,WA,900099.0
EIN-01-0556446,QUINCY ASIAN RESOURCES INC,QUINCY,MA,900099.0
EIN-01-0557881,GRANDIN THEATRE FOUNDATION INC,ROANOKE,VA,711110.0
EIN-01-0558388,LINK A COMMUNITY ASSESMENT AND RESOURCE CENTER,THORNTON,CO,624100.0
EIN-01-0559608,ALLIED MEDIA PROJECTS INC,DETROIT,MI,611420.0
EIN-01-0559608,ALLIED MEDIA PROJECTS INC,DETROIT,MI,611420.0
EIN-01-0562689,TRIANGLE LIGHTNING,WENDELL,NC,900099.0
EIN-01-0563728,COVERED BRIDGE AFFORDABLE HOUSING CORPORATION,DOVER,NH,531110.0
EIN-01-0564355,THE FOUNDATION FOR ENHANCING COMMUNITIES,HARRISBURG,PA,541900.0
EIN-01-0564355,THE FOUNDATION FOR ENHANCING COMMUNITIES,HARRISBURG,PA,541900.0
EIN-01-0564933,AUSTIN HINDU TEMPLE AND COMMUNITY CENTER,AUSTIN,TX,900099.0
EIN-01-0565218,GLAMOURGALS FOUNDATION INC,NEW YORK,NY,900099.0
EIN-01-0566033,ISRAEL EMERGENCY ALLIANCE,LOS ANGELES,CA,900099.0
EIN-01-0567853,EBENEZER CHARITIES INC,WHITE PLAINS,NY,999999.0
EIN-01-0574675,COMMON GROUND FARM INC,BEACON,NY,111000.0
EIN-01-0574830,NCC NEUMANN SENIOR HOUSING CORPORATION,PHILADELPHIA,PA,531110.0
EIN-01-0575746,SAINT GIANNAS HOME INC,MINTO,ND,900099.0
EIN-01-0576305,ANNALS OF FAMILY MEDICINE INC,LEAWOOD,KS,900099.0
EIN-01-0579367,TURNING POINT COMMUNITY SERVICES,MAPLEWOOD,NJ,624200.0
EIN-01-0582162,CONTEXTUAL FAMILY SERVICES A NJ NON-PROFIT CORP,FLEMINGTON,NJ,624100.0
EIN-01-0582371,SUNSHINE SOCIAL SERVICES INC,WILTON MANORS,FL,621300.0
EIN-01-0584107,YOUTH DRIVING FOR VALUES,S SALT LAKE,UT,611620.0
EIN-01-0587702,BODIOGRAPHY CONTEMPOARY BALLET,PITTSBURGH,PA,711120.0
EIN-01-0589194,BRAZILIAN ARTS FOUNDATION,HOUSTON,TX,611600.0
EIN-01-0590995,ANIMAL ADVOCATES OF MOORE COUNTY INC,PINEHURST,NC,900099.0
EIN-01-0592853,COLLABORATIVE EFFORT TO REINFORCE TRANSITION SUCCESS INC,NEW CASTLE,DE,623990.0
EIN-01-0593565,THE ONE CAMPAIGN,WASHINGTON,DC,900099.0
EIN-01-0595845,USA SOUTH ATHLETIC CONFERENCE INC,ROME,GA,711210.0
EIN-01-0596561,LIBERTY LODGE INC,TITUSVILLE,FL,623990.0
EIN-01-0597067,GARRISON INSTITUTE,GARRISON,NY,900099.0
EIN-01-0598057,FRIENDS OF HOLLY HILL FARM INC,COHASSET,MA,110000.0
EIN-01-0599278,LIFELINE ANIMAL PROJECT INC,ATLANTA,GA,900099.0
EIN-01-0599278,LIFELINE ANIMAL PROJECT INC,ATLANTA,GA,900099.0
EIN-01-0601606,AMERICAN INTERNATIONAL SCHOOL OF BAMAKO FOUNDATION,PRINCETON,NJ,611600.0
EIN-01-0602578,VISION 21 LEARNING CENTER INC,BROKEN ARROW,OK,624410.0
EIN-01-0603034,RURAL HEALTH COLLABORATIVE OF SOUTHERN OHIO INC,WINCHESTER,OH,531120.0
EIN-01-0607626,PROVIDENCE WESTSIDE HOUSING DEVELOPMENT FUND COMPANY INC,ROCHESTER,NY,531110.0
EIN-01-0608595,AMERICAN CARIBBEAN EXPERIENCE INC,ATLANTA,GA,900099.0
EIN-01-0611469,FRIENDS OF FIREFIGHTERS INC,BROOKLYN,NY,900099.0
EIN-01-0613834,HIRES FAMILY RESOURCES INC,YAKIMA,WA,624100.0
EIN-01-0615597,PENN BORO VOLUNTEER FIRE DEPT,PENN,PA,900099.0
EIN-01-0619670,FOUNDATION FOR THE CHALLENGED,DUBLIN,OH,531110.0
EIN-01-0620340,WHISPERS OF HOPE HORSEFARM,WICHITA FALLS,TX,713990.0
EIN-01-0622507,AMERICA IN BLOOM,COLUMBUS,OH,110000.0
EIN-01-0622545,DETOUR COMPANY THEATER INC,PHOENIX,AZ,711190.0
EIN-01-0624865,NEHI INC,BOSTON,MA,541900.0
EIN-01-0625121,COMMUNITY MALE EMPOWERMENT PROJECT,CHICAGO,IL,531390.0
EIN-01-0625811,FREEDOM BUILDERS OF AMERICA,TRAVERSE CITY,MI,811000.0
EIN-01-0627754,CLEVELAND ARTS PRIZE,CLEVELAND,OH,711300.0
EIN-01-0628076,GIRLS ON THE RUN OF SILICON VALLEY INCORPORATED,LOS GATOS,CA,900099.0
EIN-01-0628078,HOLYOKE COMMUNITY MEDIA INC,HOLYOKE,MA,921190.0
EIN-01-0628727,SUNSET WOODS ASSOCIATION,HIGHLAND PARK,IL,531110.0
EIN-01-0629345,VOLUNTEER CHRISTIAN TELEVISION INC,CLEARWATER,FL,515100.0
EIN-01-0633329,CAMBRIDGE VALLEY COMMUNITY DVLPMT & PRESERVATION PARTNERSHIP INC,CAMBRIDGE,NY,445200.0
EIN-01-0634942,OHIO CAPITAL FINANCE CORPORATION,COLUMBUS,OH,531390.0
EIN-01-0634942,OHIO CAPITAL FINANCE CORPORATION,COLUMBUS,OH,531390.0
EIN-01-0635627,NEW HOPE GRIEF SUPPORT COMMUNITY,LONG BEACH,CA,624100.0
EIN-01-0635895,SHELTERCARE PROVIDERS OF SAN DIEGO INC,SAN DIEGO,CA,623990.0
EIN-01-0636494,THE ASSOCIATION OF CHURCH SPORTS AND RECREATION MINISTRIES INC,CANTON,OH,900099.0
EIN-01-0637743,MOST VALUABLE KIDS INC,ROCKVILLE,MD,900099.0
