CBSA,City,State,Total_Rev_Prog_Desc,Average_AQI,Latitude,Longitude
"WABASH, IN",WABASH,IN,3974308.0,37.535612535612536,40.8065352,-85.7833563
"WACO, TX",WACO,TX,32497969.0,39.701369863013696,31.5491899,-97.1474628
"WALLA WALLA, WA",WALLA WALLA,WA,8848189.0,32.989041095890414,46.2055155,-118.5174284
"WALTERBORO, SC",WALTERBORO,SC,624200.0,25.428571428571427,32.9021377,-80.6672631
"WARNER ROBINS, GA",WARNER ROBINS,GA,5928161.0,48.01977401129943,32.6200973,-83.606568
"WASHINGTON COURT HOUSE, OH",WASHINGTON COURT HOUSE,OH,1593330.0,36.87042253521127,39.5364511,-83.4390843
"WATERTOWN, SD",WATERTOWN,SD,5481618.0,33.74792243767313,44.899211,-97.115289
"WAUSAU, WI",WAUSAU,WI,11811188.0,35.28780487804878,44.9597858,-89.6272791
"WEATHERFORD, OK",WEATHERFORD,OK,3678549.0,15.622881355932204,35.5261633,-98.7075744
"WENATCHEE, WA",WENATCHEE,WA,13463951.0,36.487671232876714,47.4234599,-120.310349
"WICHITA, KS",WICHITA,KS,62561656.0,44.36986301369863,37.6922361,-97.3375448
"WILLIAMSPORT, PA",WILLIAMSPORT,PA,11415046.0,37.875346260387815,41.2411556,-77.0011096
"WILLISTON, ND",WILLISTON,ND,4383802.0,35.30386740331492,48.1465457,-103.621814
"WILMINGTON, NC",WILMINGTON,NC,25357326.0,38.8277027027027,34.2257282,-77.9447107
"WINONA, MN",WINONA,MN,10015133.0,25.37391304347826,44.0500054,-91.6392294
"YAKIMA, WA",YAKIMA,WA,26855628.0,50.64109589041096,46.601557,-120.510842
"YUBA CITY, CA",YUBA CITY,CA,4035809.0,49.76164383561644,39.1404477,-121.6169108
"YUMA, AZ",YUMA,AZ,1758110.0,49.79178082191781,32.723268,-114.6179954
